,created_at,text,full_text
294,Thu Oct 20 10:34:13 +0000 2016,"Komisi Penanggulangan Acquired Immune Deficiency Syndrome (AIDS) Kota Pekanbaru, Provinsi Riau men... https://t.co/XpA3o4dzt4 #infogelap",
295,Thu Nov 20 13:37:15 +0000 2014,"Pekanbaru siagakan Puskesmas antisipasi banjir: Dinas Kesehatan Kota Pekanbaru, Provinsi Riau, telah menyiagak... http://t.co/Glo4ZiaL37",
296,Tue Mar 11 21:56:59 +0000 2014,"Pekanbaru KLB penyakit akibat asap: Kota Pekanbaru, Provinsi Riau, kini tercatat berada dalam Kejadian Luar Bi... http://t.co/W0WLNb9RKW",
297,Thu May 10 12:32:00 +0000 2018,"Laki-laki Dominan Terserang DBD di Pekanbaru, Terbanyak Anak Usia Hingga 9 Tahun: Laki-laki mendominasi terserang pâ¦ https://t.co/okknQhzfY0","Laki-laki Dominan Terserang DBD di Pekanbaru, Terbanyak Anak Usia Hingga 9 Tahun: Laki-laki mendominasi terserang penyakit Demam Berdarah Dengue (DBD) di Kota Pekanbaru hingga bulan April 2018. https://t.co/Q9I5uUhUIJ https://t.co/J93cqhjkp1"
298,Thu Nov 20 13:34:33 +0000 2014,"Pekanbaru siagakan Puskesmas antisipasi banjir: Dinas Kesehatan Kota Pekanbaru, Provinsi Riau, telah menyiagak... http://t.co/7lFB5MtyPh",
299,Sun Oct 18 12:10:26 +0000 2015,"Pekanbaru Bangun Puskesmas Wisata: PEKANBARU,SeRiau â Pemerintah. Kota Pekanbaru, Provinsi Riau membangun Pusa... http://t.co/JGH4dmG7kw",
300,Tue Nov 13 02:37:04 +0000 2018,"Keluarga Tak Izinkan Mayat Dokter yang Ditemukan Tersangkut di Jembatan Jondul Diotopsi: Senin pagi tadi, 12 Novembâ¦ https://t.co/sp3TUOwFxB","Keluarga Tak Izinkan Mayat Dokter yang Ditemukan Tersangkut di Jembatan Jondul Diotopsi: Senin pagi tadi, 12 November 2018, warga Kota Pekanbaru dihebohkan dengan penemuan mayat seorang pria yang tersangkut di bawah jembatan Sungai Sail, tepatnya diâ¦ https://t.co/kPT4D9uKsl https://t.co/1Mi6AC7h0r"
301,Fri Aug 30 08:47:05 +0000 2013,"Cuaca Di Pekanbaru Tidak Sehat Akibat Kabut Asap: Pekanbaru, Riau
Kualitas udara di kota Pekanbaru, Riau semak... http://t.co/8riaFn73Ok",
302,Tue Feb 26 08:15:42 +0000 2019,DBD Masih Pegang Rekor Penyakit Terbanyak Diderita Di Kota Pekanbaru https://t.co/L8o3GlkZYM,
303,Sun Apr 20 08:15:50 +0000 2014,selamat datang di kota pekanbaru ya dokter  @ryanthamrin :),
